"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"ZNF267"	"ZNF267"	66	-2.08	0.0375	0.437	NA	"SPRYD4, PIK3CD, PIK3CG, C1QL4, + 43 genes"
"MYCN"	"MYCN"	46	-2.08	0.0371	0.437	NA	"LPAR5, RXRG, GALE, PUDP, + 20 genes"
"MYNN"	"MYNN"	44	-2.08	0.0371	0.437	NA	"TRMT13, SHLD3, KIAA0895, TMEM267, + 32 genes"
"NFATC1"	"NFATC1"	101	-2.1	0.0355	0.431	NA	"TCF7L1, C11orf96, PEX19, RASSF2, + 50 genes"
"NCOA1"	"NCOA1"	66	-2.11	0.0353	0.431	NA	"TSTD3, SPATA5, TSTD1, ZMIZ1, + 52 genes"
"MYCL"	"MYCL"	56	-2.11	0.0351	0.431	NA	"MUM1L1, IKZF1, MOB3B, ATP6V0A1, + 18 genes"
"HIC2"	"HIC2"	67	-2.11	0.035	0.431	NA	"FAM189A2, BCAM, ZNF587B, FTH1P2, + 37 genes"
"TCF7L1"	"TCF7L1"	265	-2.11	0.0347	0.431	NA	"STAT6, ZDHHC14, RIMKLA, SNAI1, + 107 genes"
"ESR2"	"ESR2"	101	-2.11	0.0344	0.431	NA	"TBX21, ACAP1, AGAP1, SMPD3, + 61 genes"
"HIVEP3"	"HIVEP3"	103	-2.14	0.0323	0.431	NA	"CNIH3, WFS1, TCF7L1, SLC30A4, + 54 genes"
"PLAGL1"	"PLAGL1"	105	-2.14	0.032	0.431	NA	"CHORDC1, CPNE8, PRPF38B, RAB25, + 63 genes"
"ZNF781"	"ZNF781"	54	-2.14	0.032	0.431	NA	"PNMA3, LRRC6, USP49, UBE2H, + 29 genes"
"ZNF44"	"ZNF44"	31	-2.16	0.0309	0.431	NA	"ZNF793, GAS2, TRIM66, MLH3, + 24 genes"
"TSHZ1"	"TSHZ1"	28	-2.16	0.0306	0.431	NA	"SRRM3, DCAF17, ZEB1, ZSWIM6, + 19 genes"
"ZBTB5"	"ZBTB5"	107	-2.19	0.0288	0.431	NA	"ZNF185, ADAM15, DBNDD1, CITED1, + 70 genes"
"LRRFIP1"	"LRRFIP1"	86	-2.2	0.0275	0.42	NA	"ZBTB42, MXD1, ING4, PAAF1, + 50 genes"
"ZNF131"	"ZNF131"	59	-2.21	0.0273	0.42	NA	"CALM3, HCFC1R1, CEP57L1, ADAM15, + 39 genes"
"GLIS3"	"GLIS3"	49	-2.21	0.027	0.42	NA	"IMPA2, NUDT1, CHMP1B, SLC5A2, + 37 genes"
"ESRRG"	"ESRRG"	159	-2.23	0.026	0.418	NA	"LRP2, CKLF, ARSK, STRA6, + 92 genes"
"MLLT3"	"MLLT3"	101	-2.23	0.0259	0.418	NA	"SELENBP1, RIMKLA, WDR93, TNRC6C-AS1, + 65 genes"
"ZKSCAN5"	"ZKSCAN5"	103	-2.23	0.0257	0.418	NA	"TCEANC, FAM114A2, ISOC1, TMEM184A, + 78 genes"
"PRDM16"	"PRDM16"	96	-2.24	0.025	0.418	NA	"PSKH1, ZBTB2, CEP126, KCTD2, + 64 genes"
"RBPJ"	"RBPJ"	64	-2.31	0.021	0.377	NA	"GAS8, SPIN2B, RABGEF1, WBP1, + 41 genes"
"ZBED2"	"ZBED2"	89	-2.32	0.0205	0.377	NA	"CREB3L1, MGAT4C, C2orf40, FAM189A2, + 47 genes"
"NFYB"	"NFYB"	77	-2.37	0.0179	0.349	NA	"PNRC1, CHST6, RAPGEF6, SCNN1G, + 52 genes"
"FOSL2"	"FOSL2"	59	-2.4	0.0164	0.343	NA	"CAMKMT, SLC16A10, KLHL23, HBEGF, + 35 genes"
"TSHZ3"	"TSHZ3"	43	-2.42	0.0157	0.342	NA	"SLC30A4, DPY19L3, SNAI1, DCAF17, + 26 genes"
"PPARG"	"PPARG"	45	-2.44	0.0148	0.333	NA	"KNDC1, TREM1, PLAG1, BAALC, + 29 genes"
"MEOX2"	"MEOX2"	72	-2.45	0.0144	0.332	NA	"PLN, KLHL26, LTF, NRN1, + 45 genes"
"NR3C1"	"NR3C1"	58	-2.46	0.0139	0.328	NA	"TFDP1, SNORC, CNOT6L, LINC02298, + 44 genes"
"SNAI1"	"SNAI1"	50	-2.47	0.0135	0.327	NA	"EARS2, ELN, ERVMER34-1, CARD10, + 35 genes"
"BCL6"	"BCL6"	67	-2.51	0.012	0.299	NA	"PSMF1, SRL, CTDSPL, BIRC3, + 41 genes"
"TRPS1"	"TRPS1"	41	-2.53	0.0114	0.299	NA	"THYN1, PSMA7, NDUFB9, TRPC4AP, + 33 genes"
"RARB"	"RARB"	141	-2.54	0.011	0.299	NA	"DERA, ATIC, TCF7L1, ST14, + 90 genes"
"ZNF181"	"ZNF181"	36	-2.55	0.0108	0.299	NA	"ZSCAN21, ZNF596, ZNF285, SLC35C1, + 27 genes"
"TSHZ2"	"TSHZ2"	65	-2.56	0.0105	0.299	NA	"CALD1, TNFAIP3, C14orf132, TMEM41B, + 33 genes"
"NKX3-1"	"NKX3-1"	30	-2.58	0.00999	0.299	NA	"ZNF174, TRIM26, ACTR1B, TMEM9B, + 17 genes"
"PAX6"	"PAX6"	84	-2.61	0.00912	0.289	NA	"SP2-AS1, LTF, LIFR-AS1, MVP, + 57 genes"
"PRRX1"	"PRRX1"	129	-2.62	0.00881	0.289	NA	"SH3PXD2A, ABCC9, PDLIM3, MSRB3, + 72 genes"
"TFAP2C"	"TFAP2C"	61	-2.64	0.00835	0.289	NA	"SAR1B, KCNC4, ANXA4, EDA, + 38 genes"
"PKNOX1"	"PKNOX1"	51	-2.64	0.00832	0.289	NA	"CDK2AP1, C4orf48, SEMA4A, COLCA2, + 33 genes"
"ZNF548"	"ZNF548"	99	-2.64	0.0083	0.289	NA	"RPGR, TMEM53, PNN, CLIC1, + 86 genes"
"TFCP2"	"TFCP2"	145	-2.64	0.00819	0.289	NA	"TCF7L1, SMAP2, PRDM11, PLA2G16, + 115 genes"
"TOX"	"TOX"	74	-2.69	0.00725	0.289	NA	"GPR132, LTF, SLAMF6, SRRM3, + 45 genes"
"ZNF235"	"ZNF235"	43	-2.74	0.00607	0.287	NA	"CITED1, SHMT2, ZNF776, SYNE1, + 35 genes"
"MAFB"	"MAFB"	92	-2.76	0.00586	0.287	NA	"KCP, BAIAP3, ARMCX3, ALDH3A2, + 63 genes"
"GLI3"	"GLI3"	68	-2.78	0.00537	0.284	NA	"TRIM9, SHANK2, TSTD1, CITED1, + 46 genes"
"PBX4"	"PBX4"	255	-2.8	0.00517	0.284	NA	"CAPS2, TCF7L1, MYLK-AS1, SUGT1P4-STRA6LP, + 143 genes"
"SOX9"	"SOX9"	28	-2.8	0.00511	0.284	NA	"SNAI3, SLC31A1, TSPAN6, HSPA1B, + 19 genes"
"SETBP1"	"SETBP1"	137	-2.81	0.00497	0.284	NA	"WDPCP, FAM114A2, ARHGAP6, ATF7, + 114 genes"
"PRDM6"	"PRDM6"	42	-2.81	0.00493	0.284	NA	"CHPT1, ABCA10, UNC5B, ORMDL3, + 14 genes"
"CASZ1"	"CASZ1"	54	-2.81	0.00491	0.284	NA	"MGST1, RAB25, ZDHHC23, NSMCE2, + 36 genes"
"BNC2"	"BNC2"	141	-2.82	0.00476	0.284	NA	"IL10RB-DT, ARHGEF38, COL9A2, MEDAG, + 83 genes"
"PROX1"	"PROX1"	80	-2.82	0.00475	0.284	NA	"FAM220A, C14orf119, ADAM22, TRIM47, + 66 genes"
"ZFP36L2"	"ZFP36L2"	102	-3.11	0.00188	0.241	NA	"FAM220A, PLCL1, RXRG, BMP2, + 73 genes"
"MEIS1"	"MEIS1"	45	-3.27	0.00109	0.163	NA	"CITED1, WNT11, NTN1, HMCN2, + 34 genes"
"SOX5"	"SOX5"	203	-3.29	0.000994	0.163	NA	"PLCL1, GLI3, PTGR1, CD320, + 159 genes"
"ZFPM2"	"ZFPM2"	184	-3.39	0.000697	0.157	NA	"ZEB1, STON1, PLCL1, GLI3, + 135 genes"
"HIF3A"	"HIF3A"	25	-3.49	0.000484	0.145	NA	"SYP, ADAM33, GLT8D2, CLMN, + 10 genes"
"ZFHX4"	"ZFHX4"	49	-3.61	0.00031	0.145	NA	"SLC2A11, NOCT, PDLIM3, C12orf76, + 21 genes"
